timestamp,depth_m,temperature_c,salinity_psu,dissolved_oxygen_umol_kg
2024-07-01T00:00:00,25,12.478,32.791,219.75
2024-07-01T01:00:00,25,12.926,32.939,213.8
2024-07-01T02:00:00,25,13.17,33.041,216.67
2024-07-01T03:00:00,25,13.396,33.111,219.91
2024-07-01T04:00:00,25,13.678,33.075,213.07
2024-07-01T05:00:00,25,13.557,32.984,219.71
2024-07-01T06:00:00,25,13.766,,216.53
2024-07-01T07:00:00,25,13.511,,
2024-07-01T08:00:00,25,13.75,32.551,216.13
2024-07-01T09:00:00,25,13.476,32.543,212.76
2024-07-01T10:00:00,25,13.285,32.443,209.0
2024-07-01T11:00:00,25,12.83,32.559,221.31
2024-07-01T12:00:00,25,12.72,32.679,221.66
2024-07-01T13:00:00,25,12.169,32.885,220.44
2024-07-01T14:00:00,25,12.057,33.058,223.69
2024-07-01T15:00:00,25,11.854,33.123,224.02
2024-07-01T16:00:00,25,11.527,33.055,222.48
2024-07-01T17:00:00,25,11.586,33.005,230.66
2024-07-01T18:00:00,25,11.357,32.835,226.88
2024-07-01T19:00:00,25,,32.765,225.53
2024-07-01T20:00:00,25,11.875,32.6,
2024-07-01T21:00:00,25,11.782,32.566,218.54
2024-07-01T22:00:00,25,12.125,32.516,220.55
2024-07-01T23:00:00,25,12.528,32.592,226.85
2024-07-02T00:00:00,25,,32.651,216.98
2024-07-02T01:00:00,25,12.936,32.878,216.56
2024-07-02T02:00:00,25,13.349,33.009,214.43
2024-07-02T03:00:00,25,,32.977,212.45
2024-07-02T04:00:00,25,13.734,33.12,218.64
2024-07-02T05:00:00,25,13.946,33.068,214.72
2024-07-02T06:00:00,25,14.163,32.99,214.17
2024-07-02T07:00:00,25,13.817,32.845,215.87
2024-07-02T08:00:00,25,14.043,32.653,219.69
2024-07-02T09:00:00,25,13.625,32.625,215.85
2024-07-02T10:00:00,25,13.363,32.444,216.1
2024-07-02T11:00:00,25,13.374,32.571,218.57
2024-07-02T12:00:00,25,12.504,32.664,221.65
2024-07-02T13:00:00,25,,32.738,220.09
2024-07-02T14:00:00,25,12.539,32.866,218.56
2024-07-02T15:00:00,25,12.246,33.015,219.92
2024-07-02T16:00:00,25,11.875,,223.16
2024-07-02T17:00:00,25,11.569,33.126,223.73
2024-07-02T18:00:00,25,12.063,33.009,225.85
2024-07-02T19:00:00,25,11.575,32.854,224.67
2024-07-02T20:00:00,25,12.163,32.626,224.32
2024-07-02T21:00:00,25,12.19,32.659,223.38
2024-07-02T22:00:00,25,12.368,32.483,216.78
2024-07-02T23:00:00,25,12.689,32.5,225.31
2024-07-03T00:00:00,25,12.888,32.599,213.74
2024-07-03T01:00:00,25,13.241,32.723,219.51
2024-07-03T02:00:00,25,13.817,32.858,211.38
2024-07-03T03:00:00,25,13.927,33.021,215.77
2024-07-03T04:00:00,25,13.954,33.138,214.45
2024-07-03T05:00:00,25,14.294,33.16,214.65
2024-07-03T06:00:00,25,14.283,33.145,213.6
2024-07-03T07:00:00,25,14.165,32.924,217.79
2024-07-03T08:00:00,25,14.117,32.796,217.12
2024-07-03T09:00:00,25,13.842,32.542,215.53
2024-07-03T10:00:00,25,13.714,32.5,217.76
2024-07-03T11:00:00,25,13.492,32.451,217.59
2024-07-03T12:00:00,25,13.071,32.471,219.08
2024-07-03T13:00:00,25,12.793,32.617,
2024-07-03T14:00:00,25,,32.771,220.83
2024-07-03T15:00:00,25,12.434,32.91,221.41
2024-07-03T16:00:00,25,12.101,33.168,
2024-07-03T17:00:00,25,12.095,33.084,
2024-07-03T18:00:00,25,12.245,33.069,227.74
2024-07-03T19:00:00,25,11.945,32.989,
2024-07-03T20:00:00,25,12.037,32.833,221.0
2024-07-03T21:00:00,25,12.372,,226.52
2024-07-03T22:00:00,25,12.575,,216.68
2024-07-03T23:00:00,25,,,215.62
